city,area_km,num_nodes,num_edges,degree_avg,edge_length_total,edge_length_avg,node_density_km,edge_density_km,central_sp_mean,central_sp_std,edge_length_std,degree_std
Prague,55.67147066139331,20824.0,48399.0,4.6483864771417585,5781533.068000003,119.45563065352594,37.40515519458136,10385.091321126783,10123.71331551034,4303.527020785555,153.04909714785452,1.8691757975498358
Paris,9.996978478191858,10067.0,19678.0,3.9094069732790304,1876989.9610000108,95.38519976623695,100.70042685358273,18775.572690234498,4573.6689878951565,1720.667974121653,90.99992885198108,1.507340035922753
London,183.9504069482313,126158.0,297307.0,4.71324846620904,28995760.15699953,97.52801029575329,68.5826153325686,15762.813813812185,15698.890195127757,6766.2280058597935,103.16627570803136,1.89006968376237
Berlin,111.50565194229135,27992.0,73036.0,5.218348099456987,10665873.160000142,146.0358338353708,25.10366022924737,9565.320657934144,11775.597930330652,5183.212392678038,152.7949071656941,1.7853952352939548
Madrid,53.37777087864568,30397.0,61219.0,4.027963285850578,6085265.252000008,99.40157879089838,56.9469265944199,11400.373510978667,8015.7482200325685,3768.9633183348274,147.7378986867977,1.5715123575260674
Brussels,2.6986414194796557,1413.0,2674.0,3.7848549186128806,235715.60800000012,88.15093792071809,52.35967957063559,8734.6027633953,2514.545087238645,1334.29342668294,94.24324336800207,1.528904739117963
Helsinki,29.828842560407306,9574.0,20784.0,4.341758930436598,2536750.5569999916,122.05304835450308,32.09645154890405,8504.354642198206,8465.718242114146,3227.0261227330952,142.95606469552698,1.7765739854064875
Oslo,50.18384038624407,8303.0,18936.0,4.561242924244249,3051779.664999993,161.16284669412727,16.545166603622352,6081.1999271313625,9008.896515898925,4171.362891143031,283.26702094356125,1.853238374482352
Warsaw,58.41771386266719,18632.0,42990.0,4.6146414770287665,5909110.0059999935,137.4531287741334,31.89443538273601,10115.270891790768,9906.179538424229,3856.8171178552825,151.43672689953334,1.8922372815193857
Vienna,42.99557225370474,16072.0,36090.0,4.491040318566451,4555934.437000015,126.23813901357758,37.38059329729038,10596.287473781558,7866.432957551579,3583.687272402575,145.76429324421983,1.7449463269336887
Amsterdam,19.332160371183182,11470.0,26463.0,4.614298169136879,2602108.112999972,98.33004999433064,59.33118585700004,13459.996518954575,5793.515586905074,2517.665109224476,139.93161454096605,1.7474731334237699
Barcelona,11.748728395478242,8814.0,16656.0,3.7794417971409118,1691042.5319999931,101.52752953890447,75.02088484224609,14393.409014807325,4524.742768343332,2214.245127938464,122.8729548024208,1.4082123050839936
Belgrade,385.89596326241104,36143.0,82804.0,4.582021414935119,14754131.014000047,178.1813802956385,9.365995874754097,3823.3442219158883,24815.016918203462,9523.022784320823,304.9987344104836,1.9655088461565482
Bilbao,4.001685865730449,2525.0,4803.0,3.8043564356435637,543557.7340000003,113.17046304393094,63.09840613986071,13583.218479364112,3005.3232114537445,1433.6031059934235,165.3685124508011,1.4854196449231367
Birmingham,30.021174838995897,25640.0,57150.0,4.457878315132605,4995405.8510000035,87.40867630796156,85.40638445200024,16639.608135892264,8551.341756334672,3676.0208830258916,94.70615314650593,1.9216357759920357
Bremen,40.26352990736557,8892.0,20334.0,4.573549257759784,2941790.3080000123,144.673468476444,22.084501831950284,7306.339793774163,10809.834681751496,4420.043999900382,228.8208968258107,1.8066313562621508
Bristol,13.337280306601894,12046.0,27639.0,4.5889091814710286,2227065.7339999736,80.57692876008444,90.31826371705843,16698.049998226295,5240.442966265061,2232.0451969859496,85.58280034080038,1.857942048612737
Copenhagen,0.1563934151123278,26.0,58.0,4.461538461538462,11968.343999999996,206.3507586206896,16.62474086989263,7652.7160631436245,536.5836153846154,381.6684747854908,171.28688921013938,1.8652854850741756
Dublin,13.727957144021586,11135.0,25902.0,4.652357431522226,2461847.2789999926,95.04467913674593,81.11184995102644,17933.092689410874,5028.965448750453,2225.6158721449146,100.79315838263143,1.9157202062155032
Glasgow,4.402980212963736,788.0,2032.0,5.157360406091371,388022.8280000001,190.9561161417324,17.896968913916176,8812.731587063256,2695.5321541401267,1342.0460285506867,208.28555677149933,1.9317265188322232
Hamburg,91.31489750271929,21435.0,51893.0,4.841894098437137,7548961.927000008,145.47168070838086,23.47371632253289,8266.955484208045,10590.240275167156,5402.285873848783,187.0254676435796,1.752621438845721
Liverpool,12.673832040038455,14712.0,34066.0,4.631049483414898,2734715.0669999896,80.27696433393969,116.0817024679093,21577.6495882274,5539.288159727889,2084.47913135562,79.0463169981052,1.9329432101849373
