,city,area_km,n,m,k_avg,edge_length_total,edge_length_avg,node_density_km,edge_density_km
0,Prague,55.67147066139331,20824.0,48399.0,4.648386477141759,5781533.068000002,119.45563065352594,37.40515519458136,10385.091321126785
1,Paris,9.996978478191858,10067.0,19678.0,3.9094069732790304,1876989.9610000108,95.38519976623695,100.70042685358273,18775.572690234498
2,London,183.95040694823132,126158.0,297307.0,4.7132484662090395,28995760.156999532,97.52801029575332,68.5826153325686,15762.813813812185
3,Berlin,111.50565194229135,27992.0,73036.0,5.218348099456987,10665873.160000142,146.0358338353708,25.103660229247375,9565.320657934144
4,Madrid,53.377770878645684,30397.0,61219.0,4.027963285850578,6085265.252000008,99.40157879089838,56.9469265944199,11400.373510978667
5,Brussels,2.698641419479656,1413.0,2674.0,3.7848549186128806,235715.60800000018,88.15093792071809,52.35967957063559,8734.6027633953
6,Stockholm,31.209415783571398,12592.0,29439.0,4.675825921219822,3393765.306999992,115.2812699819964,40.34679818206791,10874.171213376145
7,Helsinki,29.828842560407306,9574.0,20784.0,4.341758930436599,2536750.556999992,122.05304835450309,32.09645154890405,8504.354642198205
8,Oslo,50.18384038624407,8303.0,18936.0,4.561242924244249,3051779.6649999935,161.16284669412724,16.545166603622352,6081.199927131362
9,Warsaw,58.41771386266719,18632.0,42990.0,4.614641477028767,5909110.005999994,137.4531287741334,31.894435382736006,10115.270891790768
10,Vienna,42.995572253704744,16072.0,36090.0,4.491040318566451,4555934.437000015,126.23813901357758,37.38059329729038,10596.287473781558
11,Amsterdam,19.33216037118318,11470.0,26463.0,4.6142981691368785,2602108.112999972,98.33004999433065,59.33118585700004,13459.996518954576
12,"Antwerp, Netherlands",,,,,,,,
13,"Athens, Greece",,,,,,,,
14,Barcelona,11.748728395478242,8814.0,16656.0,3.779441797140912,1691042.5319999931,101.52752953890449,75.0208848422461,14393.409014807325
15,Belgrade,385.89596326241104,36143.0,82804.0,4.582021414935119,14754131.014000049,178.1813802956385,9.365995874754095,3823.3442219158874
16,Bilbao,4.001685865730449,2525.0,4803.0,3.804356435643564,543557.7340000002,113.17046304393091,63.09840613986071,13583.218479364112
17,Birmingham,30.021174838995897,25640.0,57150.0,4.457878315132605,4995405.851000003,87.40867630796156,85.40638445200024,16639.608135892264
18,Bremen,40.26352990736557,8892.0,20334.0,4.573549257759784,2941790.3080000123,144.673468476444,22.08450183195028,7306.339793774163
19,Bristol,13.337280306601894,12046.0,27639.0,4.588909181471028,2227065.7339999736,80.57692876008443,90.31826371705844,16698.049998226295
20,Copenhagen,0.1563934151123278,26.0,58.0,4.461538461538462,11968.343999999997,206.35075862068962,16.62474086989263,7652.716063143624
21,Dublin,13.727957144021586,11135.0,25902.0,4.652357431522227,2461847.2789999926,95.04467913674591,81.11184995102643,17933.092689410874
22,Glasgow,4.402980212963735,788.0,2032.0,5.157360406091371,388022.8280000001,190.95611614173234,17.896968913916176,8812.731587063256
23,Hamburg,91.31489750271928,21435.0,51893.0,4.841894098437136,7548961.927000007,145.47168070838083,23.473716322532898,8266.955484208045
24,Liverpool,12.673832040038455,14712.0,34066.0,4.631049483414899,2734715.0669999896,80.27696433393969,116.0817024679093,21577.649588227396
25,Lisbon,9.305362716112304,9680.0,20101.0,4.153099173553719,1844095.2940000051,91.74147027511094,104.02603633321041,19817.554137969717
26,Manchester,14.701653995885637,14498.0,34463.0,4.754172989377845,2675307.9420000105,77.6284113977312,98.6147545307308,18197.326251513703
27,Milan,20.029964487360182,13375.0,26519.0,3.9654579439252338,2580354.187999989,97.30209238659033,66.77495613354797,12882.470109361948
28,Munich,35.7238070556719,14011.0,36268.0,5.177075155235173,4647808.241000009,128.15176577147923,39.220343952046576,13010.3945353777
29,Naples,15.55478336249585,7760.0,15757.0,4.061082474226804,1816922.6999999783,115.30892301833968,49.888190784515466,11680.797203391221
30,Rome,164.41551134566686,42793.0,89369.0,4.176804617577641,11200527.093999902,125.32899656480325,26.027349639798935,6812.329933063271
31,Rotterdam,16.156518917979767,11254.0,25401.0,4.514128309934246,2417560.0919999885,95.17578410298762,69.65609397130713,14963.372396448649
