city,edge_length_avg10,edge_length_std10
"New York, New York",117.79349534750142,109.52441153707389
"San Francisco, California",119.42970040283907,104.6868397870295
"Los Angeles, California",152.96058546235506,130.9074343399914
"Boston, Massachusetts",103.88831500119818,106.26269423230849
"Washington, DC",122.90400597789308,109.55150907774626
"Seattle, Washington",123.14599561782086,103.92945586445299
"San Diego, Texas",118.83084582441114,45.75813426941457
"Chicago, Illinois",139.1909548990357,109.5398333541961
"Houston, Texas",139.29189542754057,157.7490449979078
"Philadelphia, Philadelphia",111.59973157061847,108.9897985748636
"Phoenix, Arizona",139.7065589744863,137.2843268156197
"Dallas, Texas",145.9888663491266,156.31629351164796
"Detroit, Michigan",142.63406528219897,109.88998505829342
"Memphis, Tennessee",156.4675723109323,153.3162791115444
