,city,area_km,n,m,k_avg,edge_length_total,edge_length_avg,node_density_km,edge_density_km
0,"New York, New York",121.34773045801084,55288,140922,5.097742728982781,16420804.700000172,116.52406792410108,45.5616267327974,13532.024569410596
1,"San Francisco, California",15.223142803769878,9581,26746,5.583133284625822,3118291.766000021,116.58908868615946,62.937069720106344,20483.88960279479
2,"Los Angeles, California",159.58088933647562,51077,139975,5.480940540752198,21231938.765000165,151.6837918556897,32.00696537810637,13304.812909165275
3,"Boston, Massachusetts",18.051202008779274,11139,25595,4.595565131519885,2605175.817999987,101.78456018753612,61.70780203214447,14432.145940934844
4,"Washington, DC",18.292674594260312,10027,27171,5.41956716864466,3274207.63500002,120.50375897096242,54.81429163533128,17899.009891245576
5,"Seattle, Washington",30.802295704990925,15685,45786,5.838189352884922,5568247.230999997,121.61462523478785,50.921529194522165,18077.377362810555
6,"San Diego, Texas",0.4389228531536207,274,936,6.8321167883211675,110995.35000000008,118.58477564102573,62.42554882511471,25288.12277659015
7,"Chicago, Illinois",75.4906349531969,28492,75961,5.332093219149235,10456230.256999893,137.65261459169696,37.74242992877809,13851.029685314745
8,"Houston, Texas",204.10619392590135,59210,148793,5.025941563925013,20553282.81399986,138.13339884268657,29.009408710788843,10069.896664410644
9,"Philadelphia, Philadelphia",49.38443387036413,24817,61399,4.9481403876375065,6775920.402999976,110.35880719555654,50.25267691666871,13720.761527381288
10,"Phoenix, Arizona",154.33162252179943,47780,122925,5.1454583507743825,16891275.848000035,137.4112332560507,30.959306472172315,10944.792500716521
11,"Dallas, Texas",120.14608234950742,36139,92494,5.118791333462465,13371145.143999888,144.56229748956568,30.07921631174865,11129.072943970783
12,"Detroit, Michigan",45.687593461118745,20688,59724,5.773781902552204,8471280.619000014,141.84047650860649,45.281439517286,18541.752754408655
13,"Memphis, Tennessee",90.90165272956921,24327,64076,5.267891643030378,9958992.772999926,155.42469525251147,26.761889657135708,10955.788452634355
