city,edge_length_avg,edge_length_std,in_degree_avg,in_degree_std,out_degree_avg,out_degree_std
"New York, New York",116.51860803445975,109.51893612347364,2.5488912202004124,0.8978035458990309,2.5488912202004124,0.8972392614943538
"San Francisco, California",116.58908861138114,104.82947545084403,2.791566642312911,1.0019685552819564,2.791566642312911,0.9886506881318626
"Los Angeles, California",151.67120611325012,131.04463376821062,2.7403543114417146,1.0275071590343055,2.7403543114417146,1.0261727103067728
"Boston, Massachusetts",101.77379799992187,106.0375074903181,2.2977291086976033,0.8836562945277168,2.2977291086976033,0.8870019792117583
"Washington, DC",120.49869878897191,109.63883571362226,2.709925187032419,0.9337379599995745,2.709925187032419,0.9321341422997687
"Seattle, Washington",121.60577027735313,104.09026311552591,2.9189774972907503,1.025772945500649,2.9189774972907503,1.0230972042161857
"San Diego, Texas",118.58477564102564,46.017496731883334,3.4160583941605838,0.8598279896424655,3.4160583941605838,0.8598279896424655
"Chicago, Illinois",137.65868488750215,109.81784710166988,2.6659062192896252,0.895743935821856,2.6659062192896252,0.8967621046110996
"Houston, Texas",138.1136178067829,157.52460550585565,2.5132345737403083,0.9356220409048066,2.5132345737403083,0.9332358862017957
"Philadelphia, Philadelphia",110.3553815860193,108.9238788012414,2.4740701938187533,0.8790213728631463,2.4740701938187533,0.8794796604425953
"Phoenix, Arizona",137.41122167988613,137.18667027372146,2.5727291753871913,0.9554131442327221,2.5727291753871913,0.9552159700867547
"Dallas, Texas",144.55774698365335,156.1312726482287,2.559309371627791,0.9049348421181774,2.559309371627791,0.903435369408095
"Detroit, Michigan",141.8407245495948,110.05147720538723,2.886890951276102,0.9898783201231112,2.886890951276102,0.9885589915796867
"Memphis, Tennessee",155.42481358074784,153.28404271890068,2.633945821515189,0.9805794471370086,2.633945821515189,0.9804117499461291
