,city,central_sp_mean,central_sp_std
0,"New York, New York",16891.781313519878,7286.276693299668
1,"San Francisco, California",5229.288453537045,2298.9691028226366
2,"Los Angeles, California",22829.89004221952,6972.81791829943
3,"Boston, Massachusetts",5886.171148428353,2942.066024865192
4,"Washington, DC",5627.796573303938,2560.230938262994
5,"Seattle, Washington",8012.549337630017,3546.231721527302
6,"San Diego, Texas",1121.7281386861314,515.507318646076
7,"Chicago, Illinois",13073.816516630337,5849.174238975298
8,"Houston, Texas",16319.475177344488,8207.013328785548
9,"Philadelphia, Philadelphia",8935.743506984254,4290.716765710855
10,"Phoenix, Arizona",17147.974600866404,8832.027679745632
11,"Dallas, Texas",13270.834892904804,6328.212954532587
12,"Detroit, Michigan",9680.179677600658,4454.1420011793525
13,"Memphis, Tennessee",12261.330286161321,5310.0005957291105
